"","country","year","petrol"
"1","BE",2016,1241.34479709148
"2","BE",2017,1298.1122753052
"3","BE",2018,1318.28598271327
"4","BE",2019,1290.76851117175
"5","BE",2020,1180.39693245865
"6","BE",2021,1330.01814099554
"7","BE",2022,1458.61816087785
"8","DE",2016,1300.21912350598
"9","DE",2017,1345.62193927522
"10","DE",2018,1387.30769230769
"11","DE",2019,1342.48960247606
"12","DE",2020,1217.9584120983
"13","DE",2021,1449.5402556627
"14","DE",2022,1620.34788641657
"15","FR",2016,1297.14624663543
"16","FR",2017,1355.45087217897
"17","FR",2018,1454.82355212355
"18","FR",2019,1433.93919359073
"19","FR",2020,1285.81706161137
"20","FR",2021,1442.18413591291
"21","FR",2022,1586.2126120178
"22","LU",2016,1090.21711315474
"23","LU",2017,1133.50954478708
"24","LU",2018,1172.26753670473
"25","LU",2019,1143.18851301494
"26","LU",2020,1017.38884168791
"27","LU",2021,1214.71487965682
"28","LU",2022,1414.01410838482
