"","YEAR","COREG_2DW","Never_all","Never_incountry","Total_all","Never_cross"
"105",2010,"ES12",381.203,381.203,405.069,0
"106",2010,"ES13",223.235,223.235,235.19,0
"107",2010,"ES21",899.037,899.037,957.317,0
"108",2010,"ES22",265.601,265.601,283.196,0
"109",2010,"ES23",127.844,127.844,135.595,0
"110",2010,"ES24",518.269,518.269,565.229,0
"111",2010,"ES30",2820.195,2820.195,2993.671,0
"112",2010,"ES41",916.705,916.705,984.56,0
"113",2010,"ES42",688.841,688.841,732.2,0
"114",2010,"ES43",352.117,352.117,375.848,0
"115",2010,"ES51",3071.354,3070.833,3244.377,0.521000000000186
"116",2010,"ES52",1747.353,1747.353,1893.846,0
"117",2010,"ES53",466.269,466.269,482.371,0
"118",2010,"ES61",2639.85,2639.85,2836.123,0
"119",2010,"ES62",525.316,525.316,562.983,0
"120",2010,"ES63",26.544,26.544,26.544,0
"121",2010,"ES64",20.878,20.878,20.878,0
"122",2010,"ES70",690.389,690.389,748.702,0
"123",2010,"FI00",6.38,0,6.38,6.38
"124",2010,"FI19",481.864,481.864,601.523,0
"125",2010,"FI1B",604.718,604.718,808.72,0
"126",2010,"FI1C",395.437,395.437,482.825,0
"127",2010,"FI1D",421.455,421.455,523.52,0
"128",2010,"FI20",10.41,10.41,14.785,0
"129",2010,"FR00",234.508,218.615,290.312,15.893
"130",2010,"FR10",4185.535,4185.535,5452.122,0
"131",2010,"FR21",452.079,452.079,555.274,0
"132",2010,"FR22",502.643,502.643,602.284,0
"133",2010,"FR23",576.562,576.562,692.734,0
"134",2010,"FR24",838.504,838.504,1017.266,0
"135",2010,"FR25",482.123,482.123,575.809,0
"136",2010,"FR26",545.701,545.701,665.549,0
"137",2010,"FR30",1120.106,1120.106,1402.492,0
"138",2010,"FR41",706.476,706.476,830.502,0
"139",2010,"FR42",631.364,631.364,789.702,0
"140",2010,"FR43",352.184,352.184,426.097,0
"141",2010,"FR51",1206.382,1206.382,1475.004,0
"142",2010,"FR52",976.648,976.648,1255.052,0
"143",2010,"FR53",565.781,565.781,701.889,0
"144",2010,"FR61",1041.018,1041.018,1319.758,0
"145",2010,"FR62",953.392,953.392,1229.085,0
"146",2010,"FR63",267.694,267.694,327.047,0
"147",2010,"FR71",2036.735,2036.735,2507.178,0
"148",2010,"FR72",433.411,433.411,539.792,0
"149",2010,"FR81",729.273,729.273,878.573,0
"150",2010,"FR82",1474.369,1474.369,1795.917,0
"151",2010,"FR83",83.225,83.225,83.225,0
"152",2010,"FRA3",0,0,0,0
"153",2010,"HR03",507.998,507.998,530.555,0
"154",2010,"HR04",1102.439,1102.439,1133.879,0
"155",2010,"HU10",1111.502,1111.502,1257.045,0
"156",2010,"HU21",384.601,374.245,410.734,10.356
"157",2010,"HU22",362.144,362.144,386.702,0
"158",2010,"HU23",289.442,289.442,324.616,0
"159",2010,"HU31",336.061,336.061,361.919,0
"160",2010,"HU32",456.922,456.922,480.102,0
"161",2010,"HU33",445.372,445.372,472.087,0
"162",2010,"IE00",62.882,62.882,86.404,0
"163",2010,"IE01",371.925,371.925,430.284,0
"164",2010,"IE02",1204.349,1203.364,1393.866,0.9849999999999
"165",2010,"IS00",99.877,99.877,148.417,0
"166",2010,"ITC1",1715.925,1715.925,1796.033,0
"167",2010,"ITC2",58.708,58.708,60.226,0
"168",2010,"ITC3",596.827,596.827,624.979,0
"169",2010,"ITC4",3951.852,3951.852,4167.925,0
"170",2010,"ITF1",465.03,465.03,484.341,0
"171",2010,"ITF2",101.212,101.212,103.473,0
"172",2010,"ITF3",1466.476,1466.476,1530.874,0
